plot_id,sp_code,dbh,notes,species_common,species_scientific,native
1,THPL,2.5,,western redcedar,Thuja plicata,yes
1,ACMA,82.5,,big leaf maple,Acer macrophyllum,yes
1,ACMA,23.8,,big leaf maple,Acer macrophyllum,yes
1,TSHE,0.5,,western hemlock,Tsuga heterophylla,yes
1,TSHE,0.5,,western hemlock,Tsuga heterophylla,yes
1,ACMA,9.6,,big leaf maple,Acer macrophyllum,yes
2,SOAU,2,,rowan,Sorbus aucuparia,no
2,TSHE,20.5,,western hemlock,Tsuga heterophylla,yes
2,ACMA,57.9,,big leaf maple,Acer macrophyllum,yes
2,ACMA,9.2,,big leaf maple,Acer macrophyllum,yes
2,ACMA,9.2,,big leaf maple,Acer macrophyllum,yes
2,TSHE,21.9,,western hemlock,Tsuga heterophylla,yes
2,TSHE,0.5,,western hemlock,Tsuga heterophylla,yes
2,TSHE,15.6,,western hemlock,Tsuga heterophylla,yes
2,SOAU,2.5,,rowan,Sorbus aucuparia,no
3,ACMA,6,,big leaf maple,Acer macrophyllum,yes
3,ACMA,7,,big leaf maple,Acer macrophyllum,yes
3,PSME,99.2,,Douglas fir,Pseudotsuga menziesii,yes
3,ACMA,5.3,,big leaf maple,Acer macrophyllum,yes
3,ACMA,6.1,,big leaf maple,Acer macrophyllum,yes
4,THPL,28.8,,western redcedar,Thuja plicata,yes
4,ACMA,32.1,,big leaf maple,Acer macrophyllum,yes
4,PSME,119.4,,Douglas fir,Pseudotsuga menziesii,yes
4,THPL,15,,western redcedar,Thuja plicata,yes
4,THPL,22,,western redcedar,Thuja plicata,yes
5,ACMA,19.1,,big leaf maple,Acer macrophyllum,yes
5,ACMA,38,,big leaf maple,Acer macrophyllum,yes
5,ACMA,6,,big leaf maple,Acer macrophyllum,yes
5,ACMA,7,,big leaf maple,Acer macrophyllum,yes
5,ACMA,99.2,,big leaf maple,Acer macrophyllum,yes
6,ACMA,20.9,,big leaf maple,Acer macrophyllum,yes
6,TSHE,23.9,,western hemlock,Tsuga heterophylla,yes
6,ACMA,132.2,,big leaf maple,Acer macrophyllum,yes
6,ACMA,101.8,,big leaf maple,Acer macrophyllum,yes
6,PRLA,0.5,,cherry laurel,Prunus laurocerasus,no
7,THPL,86.5,,western redcedar,Thuja plicata,yes
7,ALRU,55.7,,red alder,Alnus rubra,yes
7,ILAQ,4.2,,English holly,Ilex aquifolium,no
7,ILAQ,2.4,,English holly,Ilex aquifolium,no
7,ILAQ,2,,English holly,Ilex aquifolium,no
7,ILAQ,1.8,,English holly,Ilex aquifolium,no
7,ILAQ,0.8,,English holly,Ilex aquifolium,no
8,ILAQ,0.5,,English holly,Ilex aquifolium,no
8,SOAU,1.8,,rowan,Sorbus aucuparia,no
