plot_id,sp_code,cover_class,notes,cover_mid,cover_min,cover_max,species_common,species_scientific,native
DM01,POMU,F,,0.625,0.5,0.75,sword fern,Polystichum munitum,yes
DM01,RUUR,C,,0.1,0.05,0.15,trailing blackberry,Rubus ursinus,yes
DM01,COCO,E,,0.375,0.25,0.5,beaked hazelnut,Corylus cornuta,yes
DM01,OECE,D,,0.2,0.15,0.25,osoberry,Oemleria cerasiformis,yes
DM01,GASH,B,,0.03,0.01,0.05,salal,Gaultheria shallon,yes
DM01,VAPA,B,,0.03,0.01,0.05,red huckleberry,Vaccinium parvifolium,yes
DM01,HEHE,A,,0.005,0,0.01,English ivy,Hedera helix,no
DM01,CADE,A,,0.005,0,0.01,Dewey's sedge,Carex deweyana,yes
DM01,SARA,B,,0.03,0.01,0.05,red elderberry,Sambucus racemosa,yes
DM01,RUSP,A,,0.005,0,0.01,salmonberry,Rubus spectabilis,yes
DM01,DREX,A,,0.005,0,0.01,woodland fern,Dryopteris expansa,yes
DM02,POMU,E,,0.375,0.25,0.5,sword fern,Polystichum munitum,yes
DM02,OECE,C,,0.1,0.05,0.15,osoberry,Oemleria cerasiformis,yes
DM02,EQAR,A,,0.005,0,0.01,horsetail,Equisetum arvense,yes
DM02,VAPA,B,,0.03,0.01,0.05,red huckleberry,Vaccinium parvifolium,yes
DM02,LYAM,A,,0.005,0,0.01,skunk cabbage,Lysichiton americanus,yes
DM02,ATFI,A,,0.005,0,0.01,lady fern,Athyrium filix-femina,yes
DM02,RUSP,A,,0.005,0,0.01,salmonberry,Rubus spectabilis,yes
DM02,HEHE,A,,0.005,0,0.01,English ivy,Hedera helix,no
DM02,ANGE,A,,0.005,0,0.01,kneeling Angelica,Angelica genuflexa,yes
DM02,TITR,A,,0.005,0,0.01,foamflower,Tiarella trifoliata,yes
DM02,DREX,A,,0.005,0,0.01,woodland fern,Dryopteris expansa,yes
DM03,POMU,G,,0.85,0.75,0.95,sword fern,Polystichum munitum,yes
DM03,DREX,A,,0.005,0,0.01,woodland fern,Dryopteris expansa,yes
DM03,RUSP,A,,0.005,0,0.01,salmonberry,Rubus spectabilis,yes
DM03,URDI,A,,0.005,0,0.01,nettle,Urtica dioica,yes
DM03,SARA,A,,0.005,0,0.01,red elderberry,Sambucus racemosa,yes
DM03,OECE,B,,0.03,0.01,0.05,osoberry,Oemleria cerasiformis,yes
DM03,RUUR,A,,0.005,0,0.01,trailing blackberry,Rubus ursinus,yes
DM04,POMU,C,,0.1,0.05,0.15,sword fern,Polystichum munitum,yes
DM04,LAMU,A,,0.005,0,0.01,wall lettuce,Lactuca muralis,no
DM04,MANE,B,,0.03,0.01,0.05,dwarf Oregon grape,Mahonia nervosa,yes
DM04,LACO,A,,0.005,0,0.01,nipplewort,Lapsana communis,no
DM04,HODI,A,,0.005,0,0.01,oceanspray,Holodiscus discolor,yes
DM04,GASH,B,,0.03,0.01,0.05,salal,Gaultheria shallon,yes
